sample_id,tool,file,line,col,rule,severity,message,layer,context,label,notes
1,validate-actions,A_Azure-Samples_mlops-enterprise-template_setup.yml,26,6,action-version,warning,Action actions/checkout uses outdated v2 which cannot be resolved to any available version. Current latest is v6.0.2.,registry,"   24:     # Checks-out your repository under $GITHUB_WORKSPACE, so your job can access it\n   25:     - name: Check Out Repository\n>  26:       id: checkout_repository\n   27:       uses: actions/checkout@v2\n   28:     ",TP,outdated / unpinned action
2,validate-actions,A_Azure-Samples_mlops-enterprise-template_setup.yml,31,6,action-version,warning,Action azure/login uses v1 (resolves to v1.6.1) which is major version outdated. Current latest is v3.0.0.,registry,   29:     # Login to Azure\n   30:     - name: Azure Login\n>  31:       id: azure_login\n   32:       uses: azure/login@v1\n   33:       with:,TP,outdated / unpinned action
3,validate-actions,A_Azure-Samples_mlops-enterprise-template_setup.yml,37,6,action-version,warning,Action azure/CLI uses v1 (resolves to v1.0.9) which is major version outdated. Current latest is v3.0.0.,registry,   35:     \n   36:     # Deploys Azure resources \n>  37:     - name: Deploy Azure resources\n   38:       uses: azure/CLI@v1\n   39:       with:,TP,outdated / unpinned action
4,actionlint,A_Azure-Samples_mlops-enterprise-template_setup.yml,27,13,action,error,"the runner of ""actions/checkout@v2"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,   25:     - name: Check Out Repository\n   26:       id: checkout_repository\n>  27:       uses: actions/checkout@v2\n   28:     \n   29:     # Login to Azure,TP,deprecated Node runner version
5,actionlint,A_Azure-Samples_mlops-enterprise-template_setup.yml,32,13,action,error,"the runner of ""azure/login@v1"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,   30:     - name: Azure Login\n   31:       id: azure_login\n>  32:       uses: azure/login@v1\n   33:       with:\n   34:         creds: ${{ secrets.AZURE_CREDENTIALS }},TP,deprecated Node runner version
6,validate-actions,A_Azure_mlops-v2-gha-demo_deploy-batch-endpoint-pipeline-classical.yml,17,24,expressions-contexts,error,Expression 'needs.get-config.outputs.resource_group' does not match any context. Unknown property 'resource_group',execution,   15:         size: STANDARD_DS3_V2\n   16:         min_instances: 0\n>  17:         max_instances: 5\n   18:         resource_group: ${{ needs.get-config.outputs.resource_group }}\n   19:         workspace_name: ${{ needs.get-config.outputs.aml_workspace }}     ,FP,reusable-workflow outputs of job 'get-config' unresolvable by static tool
7,validate-actions,A_Azure_mlops-v2-gha-demo_deploy-batch-endpoint-pipeline-classical.yml,18,24,expressions-contexts,error,Expression 'needs.get-config.outputs.aml_workspace' does not match any context. Unknown property 'aml_workspace',execution,   16:         min_instances: 0\n   17:         max_instances: 5\n>  18:         resource_group: ${{ needs.get-config.outputs.resource_group }}\n   19:         workspace_name: ${{ needs.get-config.outputs.aml_workspace }}     \n   20:       secrets:,FP,reusable-workflow outputs of job 'get-config' unresolvable by static tool
8,validate-actions,A_Azure_mlops-v2-gha-demo_deploy-batch-endpoint-pipeline-classical.yml,25,24,expressions-contexts,error,Expression 'needs.get-config.outputs.resource_group' does not match any context. Unknown property 'resource_group',execution,"   23:       needs: [get-config,create-compute]\n   24:       uses: Azure/mlops-templates/.github/workflows/create-endpoint.yml@main\n>  25:       with:\n   26:         resource_group: ${{ needs.get-config.outputs.resource_group }}\n   27:         workspace_name: ${{ needs.get-config.outputs.aml_workspace }} ",FP,reusable-workflow outputs of job 'get-config' unresolvable by static tool
9,validate-actions,A_Azure_mlops-v2-gha-demo_deploy-batch-endpoint-pipeline-classical.yml,26,24,expressions-contexts,error,Expression 'needs.get-config.outputs.aml_workspace' does not match any context. Unknown property 'aml_workspace',execution,   24:       uses: Azure/mlops-templates/.github/workflows/create-endpoint.yml@main\n   25:       with:\n>  26:         resource_group: ${{ needs.get-config.outputs.resource_group }}\n   27:         workspace_name: ${{ needs.get-config.outputs.aml_workspace }} \n   28:         endpoint_file: mlops/azureml/deploy/batch/batch-endpoint.yml,FP,reusable-workflow outputs of job 'get-config' unresolvable by static tool
10,validate-actions,A_Azure_mlops-v2-gha-demo_deploy-batch-endpoint-pipeline-classical.yml,36,24,expressions-contexts,error,Expression 'needs.get-config.outputs.resource_group' does not match any context. Unknown property 'resource_group',execution,"   34:       uses: Azure/mlops-templates/.github/workflows/create-deployment.yml@main\n   35:       needs: [get-config,create-endpoint]\n>  36:       with:\n   37:         resource_group: ${{ needs.get-config.outputs.resource_group }}\n   38:         workspace_name: ${{ needs.get-config.outputs.aml_workspace }} ",FP,reusable-workflow outputs of job 'get-config' unresolvable by static tool
11,validate-actions,A_Azure_mlops-v2-gha-demo_deploy-batch-endpoint-pipeline-classical.yml,37,24,expressions-contexts,error,Expression 'needs.get-config.outputs.aml_workspace' does not match any context. Unknown property 'aml_workspace',execution,"   35:       needs: [get-config,create-endpoint]\n   36:       with:\n>  37:         resource_group: ${{ needs.get-config.outputs.resource_group }}\n   38:         workspace_name: ${{ needs.get-config.outputs.aml_workspace }} \n   39:         endpoint_file: mlops/azureml/deploy/batch/batch-deployment.yml",FP,reusable-workflow outputs of job 'get-config' unresolvable by static tool
12,validate-actions,A_Azure_mlops-v2-gha-demo_tf-gha-deploy-infra.yml,16,24,expressions-contexts,error,Expression 'needs.set-env-branch.outputs.config-file' does not match any context. Unknown property 'set-env-branch',execution,   14:     uses: Azure/mlops-templates/.github/workflows/tf-gha-install-terraform.yml@main\n   15:     with:\n>  16:       TFAction: 'apply'\n   17:       dply_environment: ${{ needs.set-env-branch.outputs.config-file }} \n   18:       location: ${{ needs.get-config.outputs.location }},TP,referenced job 'set-env-branch' not defined in workflow
13,validate-actions,A_Azure_mlops-v2-gha-demo_tf-gha-deploy-infra.yml,17,16,expressions-contexts,error,Expression 'needs.get-config.outputs.location' does not match any context. Unknown property 'location',execution,   15:     with:\n   16:       TFAction: 'apply'\n>  17:       dply_environment: ${{ needs.set-env-branch.outputs.config-file }} \n   18:       location: ${{ needs.get-config.outputs.location }}\n   19:       namespace: ${{ needs.get-config.outputs.namespace }},FP,reusable-workflow outputs of job 'get-config' unresolvable by static tool
14,validate-actions,A_Azure_mlops-v2-gha-demo_tf-gha-deploy-infra.yml,18,17,expressions-contexts,error,Expression 'needs.get-config.outputs.namespace' does not match any context. Unknown property 'namespace',execution,   16:       TFAction: 'apply'\n   17:       dply_environment: ${{ needs.set-env-branch.outputs.config-file }} \n>  18:       location: ${{ needs.get-config.outputs.location }}\n   19:       namespace: ${{ needs.get-config.outputs.namespace }}\n   20:       postfix: ${{ needs.get-config.outputs.postfix }},FP,reusable-workflow outputs of job 'get-config' unresolvable by static tool
15,validate-actions,A_Azure_mlops-v2-gha-demo_tf-gha-deploy-infra.yml,19,15,expressions-contexts,error,Expression 'needs.get-config.outputs.postfix' does not match any context. Unknown property 'postfix',execution,   17:       dply_environment: ${{ needs.set-env-branch.outputs.config-file }} \n   18:       location: ${{ needs.get-config.outputs.location }}\n>  19:       namespace: ${{ needs.get-config.outputs.namespace }}\n   20:       postfix: ${{ needs.get-config.outputs.postfix }}\n   21:       environment: ${{ needs.get-config.outputs.environment }},FP,reusable-workflow outputs of job 'get-config' unresolvable by static tool
16,validate-actions,A_Azure_mlops-v2-gha-demo_tf-gha-deploy-infra.yml,20,19,expressions-contexts,error,Expression 'needs.get-config.outputs.environment' does not match any context. Unknown property 'environment',execution,   18:       location: ${{ needs.get-config.outputs.location }}\n   19:       namespace: ${{ needs.get-config.outputs.namespace }}\n>  20:       postfix: ${{ needs.get-config.outputs.postfix }}\n   21:       environment: ${{ needs.get-config.outputs.environment }}\n   22:       enable_aml_computecluster: ${{ needs.get-config.outputs.enable_aml_computecluster == true }} ## TBD review the evaluation of boolean,FP,reusable-workflow outputs of job 'get-config' unresolvable by static tool
17,validate-actions,A_Azure_mlops-v2-gha-demo_tf-gha-deploy-infra.yml,23,25,expressions-contexts,error,Expression 'needs.get-config.outputs.terraform_version' does not match any context. Unknown property 'terraform_version',execution,   21:       environment: ${{ needs.get-config.outputs.environment }}\n   22:       enable_aml_computecluster: ${{ needs.get-config.outputs.enable_aml_computecluster == true }} ## TBD review the evaluation of boolean\n>  23:       enable_monitoring: ${{ needs.get-config.outputs.enable_monitoring == true  }} ## TBD review the evaluation of boolean\n   24:       terraform_version: ${{ needs.get-config.outputs.terraform_version }}\n   25:       terraform_workingdir: ${{ needs.get-config.outputs.terraform_workingdir }},FP,reusable-workflow outputs of job 'get-config' unresolvable by static tool
18,validate-actions,A_Azure_mlops-v2-gha-demo_tf-gha-deploy-infra.yml,24,28,expressions-contexts,error,Expression 'needs.get-config.outputs.terraform_workingdir' does not match any context. Unknown property 'terraform_workingdir',execution,   22:       enable_aml_computecluster: ${{ needs.get-config.outputs.enable_aml_computecluster == true }} ## TBD review the evaluation of boolean\n   23:       enable_monitoring: ${{ needs.get-config.outputs.enable_monitoring == true  }} ## TBD review the evaluation of boolean\n>  24:       terraform_version: ${{ needs.get-config.outputs.terraform_version }}\n   25:       terraform_workingdir: ${{ needs.get-config.outputs.terraform_workingdir }}\n   26:       terraform_st_location: ${{ needs.get-config.outputs.terraform_st_location }},FP,reusable-workflow outputs of job 'get-config' unresolvable by static tool
19,validate-actions,A_Azure_mlops-v2-gha-demo_tf-gha-deploy-infra.yml,25,29,expressions-contexts,error,Expression 'needs.get-config.outputs.terraform_st_location' does not match any context. Unknown property 'terraform_st_location',execution,   23:       enable_monitoring: ${{ needs.get-config.outputs.enable_monitoring == true  }} ## TBD review the evaluation of boolean\n   24:       terraform_version: ${{ needs.get-config.outputs.terraform_version }}\n>  25:       terraform_workingdir: ${{ needs.get-config.outputs.terraform_workingdir }}\n   26:       terraform_st_location: ${{ needs.get-config.outputs.terraform_st_location }}\n   27:       terraform_st_storage_account: ${{ needs.get-config.outputs.terraform_st_storage_account }},FP,reusable-workflow outputs of job 'get-config' unresolvable by static tool
20,validate-actions,A_Azure_mlops-v2-gha-demo_tf-gha-deploy-infra.yml,26,36,expressions-contexts,error,Expression 'needs.get-config.outputs.terraform_st_storage_account' does not match any context. Unknown property 'terraform_st_storage_account',execution,   24:       terraform_version: ${{ needs.get-config.outputs.terraform_version }}\n   25:       terraform_workingdir: ${{ needs.get-config.outputs.terraform_workingdir }}\n>  26:       terraform_st_location: ${{ needs.get-config.outputs.terraform_st_location }}\n   27:       terraform_st_storage_account: ${{ needs.get-config.outputs.terraform_st_storage_account }}\n   28:       terraform_st_resource_group: ${{ needs.get-config.outputs.terraform_st_resource_group }},FP,reusable-workflow outputs of job 'get-config' unresolvable by static tool
21,validate-actions,A_Azure_mlops-v2-gha-demo_tf-gha-deploy-infra.yml,27,35,expressions-contexts,error,Expression 'needs.get-config.outputs.terraform_st_resource_group' does not match any context. Unknown property 'terraform_st_resource_group',execution,   25:       terraform_workingdir: ${{ needs.get-config.outputs.terraform_workingdir }}\n   26:       terraform_st_location: ${{ needs.get-config.outputs.terraform_st_location }}\n>  27:       terraform_st_storage_account: ${{ needs.get-config.outputs.terraform_st_storage_account }}\n   28:       terraform_st_resource_group: ${{ needs.get-config.outputs.terraform_st_resource_group }}\n   29:       terraform_st_container_name: ${{ needs.get-config.outputs.terraform_st_container_name }},FP,reusable-workflow outputs of job 'get-config' unresolvable by static tool
22,validate-actions,A_Azure_mlops-v2-gha-demo_tf-gha-deploy-infra.yml,28,35,expressions-contexts,error,Expression 'needs.get-config.outputs.terraform_st_container_name' does not match any context. Unknown property 'terraform_st_container_name',execution,   26:       terraform_st_location: ${{ needs.get-config.outputs.terraform_st_location }}\n   27:       terraform_st_storage_account: ${{ needs.get-config.outputs.terraform_st_storage_account }}\n>  28:       terraform_st_resource_group: ${{ needs.get-config.outputs.terraform_st_resource_group }}\n   29:       terraform_st_container_name: ${{ needs.get-config.outputs.terraform_st_container_name }}\n   30:       terraform_st_key: ${{ needs.get-config.outputs.terraform_st_key }},FP,reusable-workflow outputs of job 'get-config' unresolvable by static tool
23,validate-actions,A_Azure_mlops-v2-gha-demo_tf-gha-deploy-infra.yml,29,24,expressions-contexts,error,Expression 'needs.get-config.outputs.terraform_st_key' does not match any context. Unknown property 'terraform_st_key',execution,   27:       terraform_st_storage_account: ${{ needs.get-config.outputs.terraform_st_storage_account }}\n   28:       terraform_st_resource_group: ${{ needs.get-config.outputs.terraform_st_resource_group }}\n>  29:       terraform_st_container_name: ${{ needs.get-config.outputs.terraform_st_container_name }}\n   30:       terraform_st_key: ${{ needs.get-config.outputs.terraform_st_key }}\n   31:       terraform_plan_location: ${{ needs.get-config.outputs.location }},FP,reusable-workflow outputs of job 'get-config' unresolvable by static tool
24,validate-actions,A_Azure_mlops-v2-gha-demo_tf-gha-deploy-infra.yml,30,31,expressions-contexts,error,Expression 'needs.get-config.outputs.location' does not match any context. Unknown property 'location',execution,"   28:       terraform_st_resource_group: ${{ needs.get-config.outputs.terraform_st_resource_group }}\n   29:       terraform_st_container_name: ${{ needs.get-config.outputs.terraform_st_container_name }}\n>  30:       terraform_st_key: ${{ needs.get-config.outputs.terraform_st_key }}\n   31:       terraform_plan_location: ${{ needs.get-config.outputs.location }}\n   32:       terraform_plan_vnet: ""TBD"" # TBD",FP,reusable-workflow outputs of job 'get-config' unresolvable by static tool
25,actionlint,A_Azure_mlops-v2-gha-demo_tf-gha-deploy-infra.yml,17,29,expression,error,"property ""set-env-branch"" is not defined in object type {get-config: {outputs: {string => string}; result: string}}",execution,   15:     with:\n   16:       TFAction: 'apply'\n>  17:       dply_environment: ${{ needs.set-env-branch.outputs.config-file }} \n   18:       location: ${{ needs.get-config.outputs.location }}\n   19:       namespace: ${{ needs.get-config.outputs.namespace }},TP,unresolved property reference
26,validate-actions,Anduin2017_HowToCook_build.yml,11,8,action-version,warning,Action actions/checkout uses outdated v2 which cannot be resolved to any available version. Current latest is v6.0.2.,registry,"    9:     runs-on: ubuntu-latest\n   10:     steps:\n>  11:       # Checkout, install tools..\n   12:       - uses: actions/checkout@v2\n   13:         with:",TP,outdated / unpinned action
27,validate-actions,Anduin2017_HowToCook_build.yml,14,8,action-version,warning,Action actions/setup-node uses v4 (resolves to v4.4.0) which is major version outdated. Current latest is v6.3.0.,registry,   12:       - uses: actions/checkout@v2\n   13:         with:\n>  14:           token: ${{ secrets.PAT }}\n   15:       - uses: actions/setup-node@v4\n   16:         with:,TP,outdated / unpinned action
28,validate-actions,Anduin2017_HowToCook_build.yml,22,8,action-version,warning,Action stefanzweifel/git-auto-commit-action uses v4 (resolves to v4.16.0) which is major version outdated. Current latest is v7.1.0.,registry,   20:       - run: npm run build\n   21:       - run: npm run lint\n>  22:       # Save files.\n   23:       - uses: stefanzweifel/git-auto-commit-action@v4\n   24:         with:,TP,outdated / unpinned action
29,validate-actions,Anduin2017_HowToCook_build.yml,36,8,action-version,warning,Action actions/checkout uses outdated v2 which cannot be resolved to any available version. Current latest is v6.0.2.,registry,"   34:     runs-on: ubuntu-latest\n   35:     steps:\n>  36:       # Checkout, install tools..\n   37:       - uses: actions/checkout@v2\n   38:         with:",TP,outdated / unpinned action
30,validate-actions,Anduin2017_HowToCook_build.yml,42,8,action-version,warning,Action docker/login-action uses v1 (resolves to v1.14.1) which is major version outdated. Current latest is v4.1.0.,registry,   40:           fetch-depth: 0\n   41:       # Use docker to build current directory ./Dockfile\n>  42:       - name: Login to GitHub Container Registry\n   43:         uses: docker/login-action@v1\n   44:         with:,TP,outdated / unpinned action
31,actionlint,Anduin2017_HowToCook_build.yml,12,15,action,error,"the runner of ""actions/checkout@v2"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,"   10:     steps:\n   11:       # Checkout, install tools..\n>  12:       - uses: actions/checkout@v2\n   13:         with:\n   14:           token: ${{ secrets.PAT }}",TP,deprecated Node runner version
32,actionlint,Anduin2017_HowToCook_build.yml,37,15,action,error,"the runner of ""actions/checkout@v2"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,"   35:     steps:\n   36:       # Checkout, install tools..\n>  37:       - uses: actions/checkout@v2\n   38:         with:\n   39:           lfs: true",TP,deprecated Node runner version
33,actionlint,Anduin2017_HowToCook_build.yml,43,15,action,error,"the runner of ""docker/login-action@v1"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,   41:       # Use docker to build current directory ./Dockfile\n   42:       - name: Login to GitHub Container Registry\n>  43:         uses: docker/login-action@v1\n   44:         with:\n   45:           registry: ghcr.io,TP,deprecated Node runner version
34,validate-actions,Anduin2017_HowToCook_ci.yml,10,8,action-version,warning,Action actions/checkout uses outdated v2 which cannot be resolved to any available version. Current latest is v6.0.2.,registry,    8:   markdown-lint:\n    9:     runs-on: ubuntu-latest\n>  10:     steps:\n   11:       - uses: actions/checkout@v2\n   12:       - uses: actions/setup-node@v4,TP,outdated / unpinned action
35,validate-actions,Anduin2017_HowToCook_ci.yml,11,8,action-version,warning,Action actions/setup-node uses v4 (resolves to v4.4.0) which is major version outdated. Current latest is v6.3.0.,registry,    9:     runs-on: ubuntu-latest\n   10:     steps:\n>  11:       - uses: actions/checkout@v2\n   12:       - uses: actions/setup-node@v4\n   13:         with:,TP,outdated / unpinned action
36,actionlint,Anduin2017_HowToCook_ci.yml,11,15,action,error,"the runner of ""actions/checkout@v2"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,    9:     runs-on: ubuntu-latest\n   10:     steps:\n>  11:       - uses: actions/checkout@v2\n   12:       - uses: actions/setup-node@v4\n   13:         with:,TP,deprecated Node runner version
37,validate-actions,B_iterative_cml-playground_checks-lights-aws.yml,15,8,action-version,warning,Action aws-actions/configure-aws-credentials uses v2 (resolves to v2.2.0) which is major version outdated. Current latest is v6.1.0.,registry,   13:     environment: test\n   14:     runs-on: ubuntu-latest\n>  15:     steps:\n   16:       - uses: aws-actions/configure-aws-credentials@v2\n   17:         with:,TP,outdated / unpinned action
38,validate-actions,B_iterative_cml-playground_checks-lights-aws.yml,45,8,action-version,warning,Action dacbd/create-issue-action uses v1 (resolves to v1.2.1) which is major version outdated. Current latest is v2.0.0.,registry,   43:           fi\n   44:       - name: Send Notification\n>  45:         if: ${{ steps.lights.outputs.report }}\n   46:         uses: dacbd/create-issue-action@v1\n   47:         with:,TP,outdated / unpinned action
39,actionlint,B_iterative_cml-playground_checks-lights-aws.yml,16,15,action,error,"the runner of ""aws-actions/configure-aws-credentials@v2"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,   14:     runs-on: ubuntu-latest\n   15:     steps:\n>  16:       - uses: aws-actions/configure-aws-credentials@v2\n   17:         with:\n   18:           role-to-assume: arn:aws:iam::342840881361:role/SandboxUser,TP,deprecated Node runner version
40,validate-actions,B_iterative_cml-playground_checks-publish.yml,30,8,action-version,warning,Action iterative/setup-cml uses v1 (resolves to v1.2.5) which is major version outdated. Current latest is v2.0.1.,registry,   28:     steps:\n   29:       - name: Setup CML\n>  30:         if: matrix.distribution == 'action'\n   31:         uses: iterative/setup-cml@v1\n   32:       - name: Check release artifacts,TP,outdated / unpinned action
41,validate-actions,B_iterative_cml-playground_cml-1049-2.yml,18,8,action-version,warning,Action actions/checkout uses v3 (resolves to v3.6.0) which is major version outdated. Current latest is v6.0.2.,registry,   16:   gcp-p100:\n   17:     runs-on: ubuntu-latest\n>  18:     steps:\n   19:       - uses: actions/checkout@v3\n   20:       - name: Test a CML Branch,TP,outdated / unpinned action
42,validate-actions,B_iterative_cml-playground_cml-1049-2.yml,26,8,action-version,warning,Action iterative/setup-cml uses v1 (resolves to v1.2.5) which is major version outdated. Current latest is v2.0.1.,registry,   24:           npm install -g canvas@2 vega@5 vega-cli@5 vega-lite@5 github:iterative/cml#${{ inputs.branch || 'master' }}\n   25:       - name: Standard CML setup\n>  26:         if: ${{ steps.cml-setup.outcome != 'success' }}\n   27:         uses: iterative/setup-cml@v1\n   28:         with:,TP,outdated / unpinned action
43,validate-actions,B_iterative_cml-playground_cml-1049-2.yml,30,8,action-version,warning,Action google-github-actions/auth uses v0 (resolves to v0.9.0) which is major version outdated. Current latest is v3.0.0.,registry,   28:         with:\n   29:           version: latest\n>  30:       - name: 'Authenticate to Google Cloud'\n   31:         uses: 'google-github-actions/auth@v0'\n   32:         with:,TP,outdated / unpinned action
44,validate-actions,B_iterative_cml-playground_cml-1049-2.yml,42,8,action-version,warning,Action actions/checkout uses v3 (resolves to v3.6.0) which is major version outdated. Current latest is v6.0.2.,registry,"   40:     needs: [gcp-p100]\n   41:     runs-on: [self-hosted, gcp-p100-test]\n>  42:     steps:\n   43:       - uses: actions/checkout@v3\n   44:       - name: CML Version Test",TP,outdated / unpinned action
45,actionlint,B_iterative_cml-playground_cml-1049-2.yml,19,15,action,error,"the runner of ""actions/checkout@v3"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,   17:     runs-on: ubuntu-latest\n   18:     steps:\n>  19:       - uses: actions/checkout@v3\n   20:       - name: Test a CML Branch\n   21:         id: cml-setup,TP,deprecated Node runner version
46,actionlint,B_iterative_cml-playground_cml-1049-2.yml,41,28,runner-label,error,"label ""gcp-p100-test"" is unknown. available labels are ""windows-latest"", ""windows-latest-8-cores"", ""windows-2025"", ""windows-2022"", ""windows-2019"", ""ubuntu-latest"", ""ubuntu-latest-4-cores"", ""ubuntu-latest-8-cores"", ""ubuntu-latest-16-cores"", ""ubuntu-24.04"", ""ubuntu-24.04-arm"", ""ubuntu-22.04"", ""ubuntu-22.04-arm"", ""ubuntu-20.04"", ""macos-latest"", ""macos-latest-xl"", ""macos-latest-xlarge"", ""macos-latest-large"", ""macos-15-xlarge"", ""macos-15-large"", ""macos-15"", ""macos-14-xl"", ""macos-14-xlarge"", ""macos-14-large"", ""macos-14"", ""macos-13-xl"", ""macos-13-xlarge"", ""macos-13-large"", ""macos-13"", ""self-hosted"", ""x64"", ""arm"", ""arm64"", ""linux"", ""macos"", ""windows"". if it is a custom label for self-hosted runner, set list of labels in actionlint.yaml config file",schema,"   39:   test-gcp-p100:\n   40:     needs: [gcp-p100]\n>  41:     runs-on: [self-hosted, gcp-p100-test]\n   42:     steps:\n   43:       - uses: actions/checkout@v3",FP,actionlint lacks self-hosted label config; custom labels are valid
47,actionlint,B_iterative_cml-playground_cml-1049-2.yml,43,15,action,error,"the runner of ""actions/checkout@v3"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,"   41:     runs-on: [self-hosted, gcp-p100-test]\n   42:     steps:\n>  43:       - uses: actions/checkout@v3\n   44:       - name: CML Version Test\n   45:         run: |",TP,deprecated Node runner version
48,validate-actions,B_iterative_cml-playground_cml-1063.yml,16,8,action-version,warning,Action actions/checkout uses v3 (resolves to v3.6.0) which is major version outdated. Current latest is v6.0.2.,registry,   14:   advanced-pr:\n   15:     runs-on: ubuntu-latest\n>  16:     steps:\n   17:       - uses: actions/checkout@v3\n   18:       - name: Test a CML Branch,TP,outdated / unpinned action
49,validate-actions,B_iterative_cml-playground_cml-1063.yml,24,8,action-version,warning,Action iterative/setup-cml uses v1 (resolves to v1.2.5) which is major version outdated. Current latest is v2.0.1.,registry,   22:           npm install -g canvas@2 vega@5 vega-cli@5 vega-lite@5 github:iterative/cml#${{ inputs.branch || 'master' }}\n   23:       - name: Standard CML setup\n>  24:         if: ${{ steps.cml-setup.outcome != 'success' }}\n   25:         uses: iterative/setup-cml@v1\n   26:         with:,TP,outdated / unpinned action
50,validate-actions,B_iterative_cml-playground_cml-1063.yml,38,8,action-version,warning,Action actions/checkout uses v3 (resolves to v3.6.0) which is major version outdated. Current latest is v6.0.2.,registry,   36:   branch-pr:\n   37:     runs-on: ubuntu-latest\n>  38:     steps:\n   39:       - uses: actions/checkout@v3\n   40:       - name: Test a CML Branch,TP,outdated / unpinned action
